blank,sample
SBK2,SF08_1
SBK2,SF08_2
SBK2,SF09_1
SBK2,SF09_2
SBK2,SF10_1
SBK2,SF10_2
SBK2,SF11_1
SBK2,SF11_2
SBK2,SF12_1
SBK2,SF12_2
SBK2,SG01_1
SBK2,SG01_2
SBK2,SG02_1
SBK2,SG02_2
SBK2,SG03_1
SBK2,SG03_2
SBK2,SG04_1
SBK2,SG04_2
SBK2,SG05_1
SBK2,SG05_2
SBK2,SG06_1
SBK2,SG06_2
SBK2,SG07_1
SBK2,SG07_2
SBK2,SG08_1
SBK2,SG08_2
