,sample,type,habitat,location
,NCL07B_2023-06-08,Cam,B,west
,NCL07B_2023-06-09,Cam,B,west
,NCL07B_2023-06-11,Cam,B,west
,NCL07B_2023-06-12,Cam,B,west
,NCL07B_2023-06-13,Cam,B,west
,NCL07B_2023-06-15,Cam,B,west
,NCL07B_2023-06-16,Cam,B,west
,NCL07B_2023-06-18,Cam,B,west
,NCL07B_2023-06-22,Cam,B,west
,NCL07B_2023-06-24,Cam,B,west
,NCL07B_2023-06-25,Cam,B,west
,NCL07B_2023-06-26,Cam,B,west
,NCL07B_2023-06-28,Cam,B,west
,NCL07B_2023-06-30,Cam,B,west
,NCL08_2023-05-01,Aud,C,west
,NCL08_2023-05-02,Aud,C,west
,NCL08_2023-05-03,Aud,C,west
,NCL08_2023-05-04,Aud,C,west
,NCL08_2023-05-05,Aud,C,west
,NCL08_2023-05-06,Aud,C,west
,NCL08_2023-05-07,Aud,C,west
,NCL08_2023-05-08,Aud,C,west
,NCL08_2023-05-09,Aud,C,west
,NCL08_2023-05-10,Aud,C,west
,NCL08_2023-05-11,Aud,C,west
,NCL08_2023-05-12,Aud,C,west
,NCL08_2023-05-13,Aud,C,west
,NCL08_2023-05-14,Aud,C,west
,NCL08_2023-05-15,Aud,C,west
,NCL08_2023-05-16,Aud,C,west
,NCL08_2023-05-17,Aud,C,west
,NCL08_2023-05-18,Aud,C,west
,NCL08_2023-05-19,Aud,C,west
,NCL08_2023-05-20,Aud,C,west
,NCL08_2023-05-21,Aud,C,west
,NCL08_2023-05-22,Aud,C,west
,NCL08_2023-05-23,Aud,C,west
,NCL08_2023-05-24,Aud,C,west
,NCL08_2023-05-25,Aud,C,west
,NCL08_2023-05-26,Aud,C,west
,NCL08_2023-05-27,Aud,C,west
,NCL08_2023-05-28,Aud,C,west
,NCL08_2023-05-29,Aud,C,west
,NCL08_2023-05-30,Aud,C,west
,NCL08_2023-05-31,Aud,C,west
,NCL08_2023-06-01,Aud,C,west
,NCL08_2023-06-02,Aud,C,west
,NCL08_2023-06-03,Aud,C,west
,NCL08_2023-06-04,Aud,C,west
,NCL08_2023-06-06,Aud,C,west
,NCL08_2023-06-07,Aud,C,west
,NCL08_2023-06-08,Aud,C,west
,NCL08_2023-06-09,Aud,C,west
,NCL08_2023-06-10,Aud,C,west
,NCL08_2023-06-11,Aud,C,west
,NCL08_2023-06-12,Aud,C,west
,NCL08A_2023-05-20,Aud,C,west
,NCL08A_2023-05-23,Aud,C,west
,NCL08A_2023-05-30,Aud,C,west
,NCL08A_2023-06-02,Aud,C,west
,NCL08A_2023-06-03,Aud,C,west
,NCL08A_2023-06-07,Aud,C,west
,NCL08A_2023-06-08,Aud,C,west
,NCL08A_2023-06-09,Aud,C,west
,NCL08A_2023-06-27,Aud,C,west
,NCL08A_2023-06-29,Aud,C,west
,NCL08A_2023-06-30,Aud,C,west
,NCL08B_2023-05-25,Cam,C,west
,NCL08B_2023-05-29,Cam,C,west
,NCL08B_2023-06-02,Cam,C,west
,NCL08B_2023-06-03,Cam,C,west
,NCL08B_2023-06-04,Cam,C,west
,NCL08B_2023-06-06,Cam,C,west
,NCL08B_2023-06-11,Cam,C,west
,NCL08B_2023-06-12,Cam,C,west
,NCL09A_2023-05-02,Cam,F,west
,NCL09A_2023-05-03,Cam,F,west
,NCL09A_2023-05-04,Cam,F,west
,NCL09A_2023-05-05,Cam,F,west
,NCL09A_2023-05-06,Cam,F,west
,NCL09A_2023-05-07,Cam,F,west
,NCL09A_2023-05-08,Cam,F,west
,NCL09A_2023-05-10,Cam,F,west
,NCL09A_2023-05-12,Cam,F,west
,NCL09A_2023-05-13,Cam,F,west
,NCL09A_2023-05-15,Cam,F,west
,NCL09A_2023-05-16,Cam,F,west
,NCL09A_2023-05-17,Cam,F,west
,NCL09A_2023-05-18,Cam,F,west
,NCL09A_2023-05-21,Cam,F,west
,NCL09A_2023-05-22,Cam,F,west
,NCL09A_2023-05-23,Cam,F,west
,NCL09A_2023-05-24,Cam,F,west
,NCL09A_2023-05-25,Cam,F,west
,NCL09A_2023-05-26,Cam,F,west
,NCL09A_2023-05-27,Cam,F,west
,NCL09A_2023-05-29,Cam,F,west
,NCL09A_2023-05-30,Cam,F,west
,NCL09A_2023-06-01,Cam,F,west
,NCL09A_2023-06-03,Cam,F,west
,NCL09A_2023-06-04,Cam,F,west
,NCL09A_2023-06-05,Cam,F,west
,NCL09A_2023-06-09,Cam,F,west
,NCL09A_2023-06-13,Cam,F,west
,NCL09A_2023-06-14,Cam,F,west
,NCL09A_2023-06-15,Cam,F,west
,NCL09A_2023-06-18,Cam,F,west
,NCL09A_2023-06-19,Cam,F,west
,NCL09A_2023-06-20,Cam,F,west
,NCL09A_2023-06-21,Cam,F,west
,NCL09A_2023-06-23,Cam,F,west
,NCL09A_2023-06-24,Cam,F,west
,NCL09A_2023-06-25,Cam,F,west
,NCL09A_2023-06-26,Cam,F,west
,NCL09A_2023-06-27,Cam,F,west
,NCL09A_2023-06-29,Cam,F,west
,NCL09B_2023-05-02,Cam,F,west
,NCL09B_2023-05-04,Cam,F,west
,NCL09B_2023-05-06,Cam,F,west
,NCL09B_2023-05-07,Cam,F,west
,NCL09B_2023-05-08,Cam,F,west
,NCL09B_2023-05-10,Cam,F,west
,NCL09B_2023-05-11,Cam,F,west
,NCL09B_2023-05-12,Cam,F,west
,NCL09B_2023-05-15,Cam,F,west
,NCL09B_2023-05-17,Cam,F,west
,NCL09B_2023-05-18,Cam,F,west
,NCL09B_2023-05-21,Cam,F,west
,NCL09B_2023-05-23,Cam,F,west
,NCL09B_2023-05-24,Cam,F,west
,NCL09B_2023-05-26,Cam,F,west
,NCL09B_2023-05-27,Cam,F,west
,NCL09B_2023-05-30,Cam,F,west
,NCL09B_2023-06-01,Cam,F,west
,NCL09B_2023-06-03,Cam,F,west
,NCL09B_2023-06-08,Cam,F,west
,NCL09B_2023-06-09,Cam,F,west
,NCL09B_2023-06-11,Cam,F,west
,NCL09B_2023-06-13,Cam,F,west
,NCL09B_2023-06-14,Cam,F,west
,NCL09B_2023-06-15,Cam,F,west
,NCL09B_2023-06-16,Cam,F,west
,NCL09B_2023-06-18,Cam,F,west
,NCL09B_2023-06-19,Cam,F,west
,NCL09B_2023-06-21,Cam,F,west
,NCL09B_2023-06-27,Cam,F,west
12,PO01_1,P,F,east
21,PO01_2,P,F,east
34,PO02_1,P,C,west
4,PO02_2,P,C,west
5,PO03_1,P,C,west
610,PO03_2,P,C,west
710,PO04_1,P,C,west
8,PO04_2,P,C,west
9,PO05_1,P,C,west
10,PO05_2,P,C,west
11,SB01_1,S,B,west
